id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1858,97,16,2374.956742,3008.039104,3031.846925,3370.737109,3076.846925,3923.764563,3043.258738,3534.792017,2901.846925,3066.709655,2663.313646,3193.368554,2885.148921,3421.709655,3911.654746,2699.313646,3097.066559,3436.599838,3557.725458,2467.929288
1859,98,16,2338.000167,2974.000231,2991.000257,3326.000295,3036.000201,3880.000345,3017.000292,3492.000307,2861.000239,3021.000261,2639.000254,3171.000299,2855.00028,3376.000276,3864.000341,2675.000242,3064.000269,3387.000292,3548.000269,2430.000242
1860,99,16,2314.165099,2953.832351,2968.082288,3302.165641,3010.331713,3856.165858,3004.166732,3464.498761,2838.082133,2995.331961,2625.249806,3160.917043,2839.41639,3349.415299,3836.498869,2659.41625,3046.582864,3358.581789,3555.335264,2407.082179
1861,100,16,2311.998585,2952.000314,2966.000943,3300.000943,3007.998271,3854.002672,3003.003615,3462.002043,2836.000472,2992.999214,2624.003458,3160.005187,2838.002358,3347.000157,3834.001729,2658.002672,3045.002043,3355.999371,3556.005501,2405.000314
1862,101,16,2261,2905,2924,3250,2945,3812,2982,3413,2787,2917,2609,3154,2809,3291,3784,2635,3015,3285,3561,2352
1863,102,16,2261,2905,2924,3250,2945,3812,2982,3413,2787,2917,2609,3154,2809,3291,3784,2635,3015,3285,3561,2352
1864,103,16,,,,,,,,,,,,,,,,,,,,
1865,104,16,,,,,,,,,,,,,,,,,,,,
1866,105,16,,,,,,,,,,,,,,,,,,,,
1867,106,16,,,,,,,,,,,,,,,,,,,,
1868,107,16,,,,,,,,,,,,,,,,,,,,
1869,108,16,,,,,,,,,,,,,,,,,,,,
1870,109,16,,,,,,,,,,,,,,,,,,,,
1871,0,17,1244.126842,1428.690263,1308.126842,1486.734512,1495.994098,1581.386429,1244.519173,1905.734512,1531.038346,1660.386429,1476.734512,1155.734512,1095.519173,1243.734512,1645.823008,791.5191731,1272.823008,1320.77876,1308.082594,1828.430677
1872,1,17,1243.459767,1427.9009,1307.653708,1486.423036,1494.437584,1580.973354,1244.081299,1904.962939,1530.147705,1658.787004,1475.381115,1155.379482,1095.228707,1243.616978,1645.347216,790.8062069,1271.730774,1320.13479,1309.102624,1825.187701
1873,2,17,1240.191469,1424.650236,1305.828436,1486.376303,1485.561137,1580.554502,1241.828436,1901.287203,1526.102369,1648.92417,1467.376303,1155.191469,1094.369668,1245.01327,1643.191469,786.6436016,1264.828436,1317.102369,1319.01327,1802.287203
1874,3,17,1232.352487,1412.995798,1295.796994,1475.552215,1467.280079,1570.354192,1230.797775,1878.561946,1509.638331,1627.200641,1451.998427,1146.074812,1086.597551,1237.910109,1628.0795,779.9576472,1249.080139,1305.716348,1312.909328,1759.299117
1875,4,17,1213.400559,1399.81658,1273.865208,1450.996434,1446.802561,1553.485809,1208.865208,1843.169699,1488.037943,1597.185237,1433.042536,1130.885816,1073.477225,1221.053719,1601.176891,768.840079,1224.583011,1287.640772,1291.081447,1699.264832
1876,5,17,1200.14109,1390.10003,1258.004667,1431.933565,1435.29966,1545.10341,1194.005796,1817.771047,1473.761721,1576.756077,1419.31801,1120.344105,1065.65816,1210.47827,1582.71291,762.9720644,1209.828875,1274.964169,1275.42777,1651.123077
